index,source,target,weight
5887,Gordon and Betty Moore Foundation,Missouri Botanical Garden,4
5888,David and Lucile Packard Foundation,Missouri Botanical Garden,3
5889,Missouri Botanical Garden,UK Research and Innovation (UKRI),3
5890,European Research Council,Missouri Botanical Garden,2
5891,Missouri Botanical Garden,Smithsonian Institution,4
5892,Missouri Botanical Garden,Natural Environment Research Council (NERC),2
5893,European Commission,Leverhulme Trust,86
5894,European Commission,Smithsonian Institution,18
5895,European Commission,Natural Environment Research Council (NERC),23
5896,Gordon and Betty Moore Foundation,Leverhulme Trust,6
5897,David and Lucile Packard Foundation,Leverhulme Trust,92
5898,Leverhulme Trust,UK Research and Innovation (UKRI),85
5899,European Research Council,Leverhulme Trust,8
5900,Leverhulme Trust,Smithsonian Institution,1
5901,Leverhulme Trust,Natural Environment Research Council (NERC),7
5902,Smithsonian Institution,UK Research and Innovation (UKRI),26
5903,European Research Council,Smithsonian Institution,8
5904,European Research Council,Natural Environment Research Council (NERC),7
5905,Natural Environment Research Council (NERC),Smithsonian Institution,3
5906,Alexander von Humboldt Foundation,David and Lucile Packard Foundation,28
5907,Microsoft,Stanford University,12
5908,European Commission,Microsoft,7
5909,Microsoft,Wellcome Trust,4
5910,Alfred P. Sloan Foundation,Pew Charitable Trusts,13
5911,Alfred P. Sloan Foundation,Princeton University,32
5912,David and Lucile Packard Foundation,Princeton University,31
5913,Bloomberg Philanthropies,Marisla Foundation,7
5914,Bloomberg Philanthropies,David and Lucile Packard Foundation,8
5915,Bloomberg Philanthropies,Oak Foundation,7
5916,CGIAR,Natural Sciences and Engineering Research Council of Canada (NSERC),113
5917,David and Lucile Packard Foundation,Social Sciences and Humanities Research Council of Canada (SSHRC),6
5918,University of Chicago,W.M. Keck Foundation,11
5919,German Research Foundation (DFG),W.M. Keck Foundation,10
5920,University of Michigan,W.M. Keck Foundation,8
5921,Ohio State University,W.M. Keck Foundation,12
5922,Higher Education Funding Council for England,W.M. Keck Foundation,15
5923,Government of Spain,W.M. Keck Foundation,7
5924,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),W.M. Keck Foundation,7
5925,Texas AM Universitiy,W.M. Keck Foundation,5
5926,Stanford University,W.M. Keck Foundation,11
5927,University of Portsmouth,W.M. Keck Foundation,11
5928,University of Cambridge,W.M. Keck Foundation,10
5929,Alfred P. Sloan Foundation,University of Chicago,31
5930,Alfred P. Sloan Foundation,German Research Foundation (DFG),13
5931,Alfred P. Sloan Foundation,Higher Education Funding Council for England,30
5932,Alfred P. Sloan Foundation,Government of Spain,37
5933,Alfred P. Sloan Foundation,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),8
5934,United States Department of Defense (DOD),University of Michigan,2
5935,Alfred P. Sloan Foundation,University of Michigan,13
5936,National Natural Science Foundation of China (NSFC),Simons Foundation,11
5937,Comision Nacional de Investigacion Cientifica y Tecnologica (CONICYT),National Natural Science Foundation of China (NSFC),7
5938,National Natural Science Foundation of China (NSFC),South African National Research Foundation,2
5939,Danish National Research Foundation,National Natural Science Foundation of China (NSFC),4
5940,Gordon and Betty Moore Foundation,National Natural Science Foundation of China (NSFC),8
5941,Pennsylvania State University,United States National Science Foundation (NSF),31
5942,Pennsylvania State University,United States National Aeronautics & Space Administration (NASA),21
5943,Pennsylvania State University,W.M. Keck Foundation,7
5944,Danish National Research Foundation,W.M. Keck Foundation,5
5945,Alfred P. Sloan Foundation,Pennsylvania State University,26
5946,David and Lucile Packard Foundation,Pennsylvania State University,26
5947,Danish National Research Foundation,Pennsylvania State University,1
5948,Johns Hopkins University,United States National Science Foundation (NSF),39
5949,New Mexico State University,United States National Science Foundation (NSF),37
5950,United States National Science Foundation (NSF),University of Oxford,8
5951,United States National Science Foundation (NSF),Yale University,38
5952,Carnegie Corporation of New York,Johns Hopkins University,5
5953,Johns Hopkins University,Ohio State University,34
5954,Johns Hopkins University,University of Washington,35
5955,Johns Hopkins University,New Mexico State University,36
5956,Johns Hopkins University,University of Colorado,4
5957,Johns Hopkins University,University of Oxford,5
5958,Johns Hopkins University,United States National Aeronautics & Space Administration (NASA),27
5959,Alfred P. Sloan Foundation,Johns Hopkins University,36
5960,David and Lucile Packard Foundation,Johns Hopkins University,50
5961,Johns Hopkins University,United States Department of Energy (DOE),37
5962,Johns Hopkins University,Yale University,21
5963,Johns Hopkins University,University of Portsmouth,34
5964,Johns Hopkins University,New York University,21
5965,Carnegie Corporation of New York,Ohio State University,5
5966,Carnegie Corporation of New York,University of Washington,5
5967,Carnegie Corporation of New York,New Mexico State University,5
5968,Carnegie Corporation of New York,University of Colorado,4
5969,Carnegie Corporation of New York,University of Oxford,5
5970,Carnegie Corporation of New York,United States National Aeronautics & Space Administration (NASA),4
5971,Alfred P. Sloan Foundation,Carnegie Corporation of New York,6
5972,Carnegie Corporation of New York,Pennsylvania State University,5
5973,Carnegie Corporation of New York,United States Department of Energy (DOE),6
5974,Carnegie Corporation of New York,Yale University,5
5975,Carnegie Corporation of New York,University of Portsmouth,5
5976,Carnegie Corporation of New York,New York University,5
5977,Ohio State University,University of Washington,36
5978,New Mexico State University,Ohio State University,36
5979,Ohio State University,University of Colorado,5
5980,Ohio State University,University of Oxford,6
5981,Alfred P. Sloan Foundation,Ohio State University,45
5982,Ohio State University,Pennsylvania State University,23
5983,Ohio State University,Yale University,22
5984,New York University,Ohio State University,22
5985,New Mexico State University,University of Washington,37
5986,University of Oxford,University of Washington,6
5987,United States National Aeronautics & Space Administration (NASA),University of Washington,31
5988,Pennsylvania State University,University of Washington,21
5989,United States Department of Energy (DOE),University of Washington,39
5990,University of Washington,Yale University,22
5991,University of Portsmouth,University of Washington,36
5992,New York University,University of Washington,21
5993,New Mexico State University,University of Colorado,5
5994,New Mexico State University,University of Oxford,6
5995,New Mexico State University,United States National Aeronautics & Space Administration (NASA),28
5996,Alfred P. Sloan Foundation,New Mexico State University,37
5997,David and Lucile Packard Foundation,New Mexico State University,32
5998,New Mexico State University,Pennsylvania State University,21
5999,New Mexico State University,United States Department of Energy (DOE),38
6000,New Mexico State University,Yale University,22
6001,New Mexico State University,University of Portsmouth,36
6002,New Mexico State University,New York University,22
6003,University of Colorado,University of Oxford,5
6004,Pennsylvania State University,University of Colorado,5
6005,United States Department of Energy (DOE),University of Colorado,5
6006,University of Colorado,Yale University,5
6007,University of Colorado,University of Portsmouth,5
6008,New York University,University of Colorado,5
6009,United States National Aeronautics & Space Administration (NASA),University of Oxford,4
6010,Alfred P. Sloan Foundation,University of Oxford,6
6011,David and Lucile Packard Foundation,University of Oxford,10
6012,Pennsylvania State University,University of Oxford,6
6013,United States Department of Energy (DOE),University of Oxford,6
6014,University of Oxford,Yale University,6
6015,University of Oxford,University of Portsmouth,6
6016,New York University,University of Oxford,6
6017,United States National Aeronautics & Space Administration (NASA),Yale University,16
6018,New York University,United States National Aeronautics & Space Administration (NASA),12
6019,Alfred P. Sloan Foundation,Yale University,25
6020,Alfred P. Sloan Foundation,University of Portsmouth,45
6021,Alfred P. Sloan Foundation,New York University,21
6022,David and Lucile Packard Foundation,Yale University,28
6023,David and Lucile Packard Foundation,New York University,17
6024,Pennsylvania State University,United States Department of Energy (DOE),21
6025,Pennsylvania State University,Yale University,21
6026,Pennsylvania State University,University of Portsmouth,21
6027,New York University,Pennsylvania State University,21
6028,United States Department of Energy (DOE),Yale University,22
6029,New York University,United States Department of Energy (DOE),22
6030,University of Portsmouth,Yale University,22
6031,New York University,Yale University,22
6032,New York University,University of Portsmouth,22
6033,United States National Science Foundation (NSF),Walton Family Foundation,17
6034,Duke University,United States National Science Foundation (NSF),4
6035,Duke University,Walton Family Foundation,2
6036,David and Lucile Packard Foundation,Duke University,2
6037,Carnegie Foundation,Natural Sciences and Engineering Research Council of Canada (NSERC),7
6038,Carnegie Foundation,David and Lucile Packard Foundation,6
6039,National Geographic Society,University of Portsmouth,2
6040,Canadian Institutes of Health Research (CIHR),David and Lucile Packard Foundation,22
6041,Consejo Nacional de Ciencia y Tecnologia (CONACyT),David and Lucile Packard Foundation,20
6042,Rainforest Trust,United States National Science Foundation (NSF),2
6043,Grantham Foundation for the Protection of the Environment,Rainforest Trust,18
6044,Avatar Alliance Foundation,United States National Science Foundation (NSF),28
6045,Margaret A. Cargill Foundation,United States National Science Foundation (NSF),21
6046,Grantham Foundation for the Protection of the Environment,United States National Science Foundation (NSF),26
6047,,Camille & Henry Dreyfus Foundation,3
6048,,United States Army Research Office,4
6049,Howard Hughes Medical Institute,United States Army Research Office,2
6050,National Key Research and Development Program of China,United States Department of Defense (DOD),2
